team,played,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points
Arsenal,35,23,7,5,67,26,41,76
Manchester City,34,21,8,5,69,32,37,71
Manchester United,35,18,10,7,63,48,15,64
Liverpool,35,17,7,11,59,47,12,58
Aston Villa,35,17,7,11,48,44,4,58
Bournemouth,35,12,16,7,55,52,3,52
Brentford,35,14,9,12,52,46,6,51
Brighton,35,13,11,11,49,42,7,50
Chelsea,35,13,9,13,54,48,6,48
Everton,35,13,9,13,44,44,0,48
Fulham,35,14,6,15,44,49,-5,48
Newcastle,35,13,6,16,49,51,-2,45
Tottenham,35,9,10,16,45,54,-9,37
West Ham,35,9,9,17,42,61,-19,36